analysisDate,tifPath,maskPath,tifFile,xVoxel,yVoxel,zVoxel,saveNumber,intensity_scaling_param,f3_param,minArea,
20200503,../data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif,../data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2_dvMask.tif,12_5ADVMLEG1L1_ch2.tif,0.1490361163691881,0.1490361163691881,0.4299999999998363,1,[0.0 39.0 ],[0.5 0.005 ],20,
20200503,../data/191230/BIN1_smKO_Male/Cell_13/13_5ADVMLEG1L1_ch2.tif,../data/191230/BIN1_smKO_Male/Cell_13/13_5ADVMLEG1L1_ch2_dvMask.tif,13_5ADVMLEG1L1_ch2.tif,0.14744497758910063,0.14744497758910063,0.4299999999998363,1,[0.0 37.5 ],[0.5 0.005 ],20,
20200503,../data/191230/BIN1_smKO_Male/Cell_14/14_5ADVMLEG1L1_ch2.tif,../data/191230/BIN1_smKO_Male/Cell_14/14_5ADVMLEG1L1_ch2_dvMask.tif,14_5ADVMLEG1L1_ch2.tif,0.17120678526731373,0.17120678526731373,0.43000000000006366,1,[0.5 27.5 ],[0.5 0.005 ],20,
20200503,../data/191230/BIN1_smKO_Male/Cell_15/15_5ADVMLEG1L1_ch2.tif,../data/191230/BIN1_smKO_Male/Cell_15/15_5ADVMLEG1L1_ch2_dvMask.tif,15_5ADVMLEG1L1_ch2.tif,0.19729543472174735,0.19729543472174735,0.43000000000006366,1,[0.0 22.0 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 1/Male KO cell 1_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 1/Male KO cell 1_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 1_3ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.4299999999998363,1,[0.0 16.0 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 10/Male KO cell 10_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 10/Male KO cell 10_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 10_3ADVMLEG1L1_ch2.tif,0.15935401705980365,0.15935401705980365,0.43000000000006366,1,[0.0 16.5 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 11/Male KO cell 11_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 11/Male KO cell 11_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 11_3ADVMLEG1L1_ch2.tif,0.1801393161443197,0.1801393161443197,0.4299999999998363,1,[0.0 31.0 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 12/Male KO cell 12_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 12/Male KO cell 12_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 12_3ADVMLEG1L1_ch2.tif,0.2301779920376829,0.2301779920376829,0.43000000000006366,1,[0.0 22.5 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 13/Male KO cell 13_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 13/Male KO cell 13_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 13_3ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,1,[0.0 21.5 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 14/Male KO cell 14_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 14/Male KO cell 14_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 14_3ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,1,[0.0 20.5 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 15/Male KO cell 15_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 15/Male KO cell 15_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 15_3ADVMLEG1L1_ch2.tif,0.129071779010528,0.129071779010528,0.43000000000006366,1,[0.0 17.5 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 16/Male KO cell 16_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 16/Male KO cell 16_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 16_3ADVMLEG1L1_ch2.tif,0.2762136413078605,0.2762136413078605,0.43000000000006366,1,[0.0 14.5 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 17/Male KO cell 17_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 17/Male KO cell 17_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 17_3ADVMLEG1L1_ch2.tif,0.16572817562943976,0.16572817562943976,0.43000000000006366,1,[0.0 13.0 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 18/Male KO cell 18_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 18/Male KO cell 18_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 18_3ADVMLEG1L1_ch2.tif,0.138106801580439,0.138106801580439,0.4299999999998363,1,[0.0 15.0 ],[0.5 0.005 ],20,
20200503,../data/200414/Bin1smKO Male/Cell 19/Male KO cell 19_3ADVMLEG1L1_ch2.tif,../data/200414/Bin1smKO Male/Cell 19/Male KO cell 19_3ADVMLEG1L1_ch2_dvMask.tif,Male KO cell 19_3ADVMLEG1L1_ch2.tif,0.2301779920376829,0.2301779920376829,0.43000000000006366,1,[0.0 14.5 ],[0.5 0.005 ],20,
